id,reference_id,name,description,image_url,created_at,updated_at,deleted_at
11,18e499ba-fea3-579b-b3e1-5f4e6f9666ee,페디그리,대중적인 가격대와 폭넓은 라인업을 가진 반려견 식품 브랜드,https://cdn.loopers.dev/brands/pedigree.jpg,2022-07-17 05:07:59.335744,2022-09-06 21:12:01.678985,\N
12,541aebc3-f649-50d0-b54b-d046f7f738b0,카루,스튜·플레이트형 습식 식단을 전개하는 프리미엄 브랜드,https://cdn.loopers.dev/brands/caru.jpg,2023-09-07 04:38:06.432359,2024-06-27 20:38:48.530213,\N
13,b8d9b536-0edd-5f18-8f5c-620526064920,벨버드,실속형 강아지 간식과 보상용 트릿 라인업 브랜드,https://cdn.loopers.dev/brands/bellbird.jpg,2024-05-06 17:03:17.956556,2025-04-19 13:31:03.781779,\N
14,1db48bb9-1804-5ec1-94d4-abd162c13712,굿프랜드,훈련용·데일리 간식 중심의 반려견 스낵 브랜드,https://cdn.loopers.dev/brands/good-friend.jpg,2023-12-06 20:15:17.464227,2024-12-16 09:47:29.888760,\N
15,fdcafa09-3d47-5edb-bcf9-d8fe29ab0a7c,참좋은간식,국내 반려견 간식 시장에서 친숙한 스테디셀러 브랜드,https://cdn.loopers.dev/brands/good-snack.jpg,2022-04-11 13:54:22.458188,2023-03-30 09:31:33.970497,\N
16,93289a6a-eb21-5d61-b3e4-a59090bda101,바우와우,덴탈껌과 육포형 간식군이 강한 반려견 간식 브랜드,https://cdn.loopers.dev/brands/bowwow.jpg,2023-08-31 08:14:42.782157,2024-03-26 04:50:06.661128,\N
17,229d8d1f-d9ba-5cf8-b35f-324a5d4ee117,포켄스,덴탈·오랄케어와 기능성 간식을 함께 전개하는 브랜드,https://cdn.loopers.dev/brands/forcans.jpg,2022-11-17 01:40:17.057015,2023-03-10 19:43:30.890984,\N
18,7a4d0cb0-02cf-56d9-afee-67bbb143cba4,헬로도기,기호성 높은 육포·소프트 간식 라인 중심 브랜드,https://cdn.loopers.dev/brands/hello-doggy.jpg,2022-10-03 00:16:09.881826,2022-12-20 10:41:49.251002,\N
19,cf6a627c-0f09-5a02-9ff3-e3e33da164b8,딩동펫,장난감·위생·산책용품까지 폭넓게 운영하는 반려용품 브랜드,https://cdn.loopers.dev/brands/dingdong-pet.jpg,2023-10-11 16:04:17.863029,2024-08-21 01:34:09.287425,\N
20,0406d7c8-2e53-5209-9709-ec7eb35ad074,펫모닝,놀이 중심 완구 라인업이 강한 반려동물 용품 브랜드,https://cdn.loopers.dev/brands/petmorning.jpg,2022-05-02 13:51:09.818756,2023-05-16 14:30:14.028004,\N
21,c5f6f1fd-6eba-5936-9a1f-77e232263960,리토가토,감성 디자인과 데일리 용품을 강조하는 반려 브랜드,https://cdn.loopers.dev/brands/litogato.jpg,2024-03-27 04:03:31.975300,2025-02-03 14:03:52.551573,\N
22,c4ff3871-5ad4-5054-a186-1fd906195d86,바잇미,캐주얼 디자인과 선물형 아이템이 많은 반려용품 브랜드,https://cdn.loopers.dev/brands/bite-me.jpg,2024-06-16 22:24:18.630459,2024-09-19 03:40:38.116056,\N
23,35ad5361-4910-536d-bdec-c31b3c5dd3a7,펫츠랜드,가성비 중심으로 카테고리를 넓게 운영하는 펫용품 브랜드,https://cdn.loopers.dev/brands/pets-land.jpg,2024-01-27 22:34:12.021254,2024-04-26 16:52:33.569260,\N
24,fa5d5163-e7b6-53b1-97b5-cc58ab06bcc6,리첼,정리·위생·외출용품 품질이 안정적인 생활 반려 브랜드,https://cdn.loopers.dev/brands/richell.jpg,2022-11-03 01:12:48.141442,2023-09-29 21:29:05.036665,\N
25,bc748818-0dcf-5dfd-909b-d561f4ba5384,도그아이,하네스·리드줄·그루밍 용품이 강한 반려견 전문 브랜드,https://cdn.loopers.dev/brands/dog-i.jpg,2023-08-14 10:11:04.277526,2023-11-07 04:21:10.542466,\N
26,e7acc64a-8335-5e8e-afee-f9216bb52de1,플라고,덴탈 중심 오랄케어 상품군이 강한 브랜드,https://cdn.loopers.dev/brands/plago.jpg,2024-10-28 19:10:48.498104,2025-11-11 07:39:50.102790,\N
27,b563a0d5-3290-592c-99f1-b323fdda0586,바비온,그루밍 도구와 케어 소품 중심의 반려 미용 브랜드,https://cdn.loopers.dev/brands/babion.jpg,2023-01-28 09:45:14.820654,2023-04-26 10:59:16.473815,\N
28,3797e63c-89d5-52ef-90d4-c7475a444ec7,하이포닉,저자극 케어를 강조하는 프리미엄 위생 브랜드,https://cdn.loopers.dev/brands/hyponic.jpg,2024-06-20 22:46:14.156840,2024-08-10 07:52:25.254653,\N
29,78bff239-7a95-55a4-b3d9-d1462a79dba9,퍼피아,하네스·의류·산책용품으로 잘 알려진 반려견 브랜드,https://cdn.loopers.dev/brands/puppia.jpg,2024-11-30 14:38:29.554274,2025-02-08 01:49:21.659634,\N
30,244227c3-fa01-5f5c-9b10-a00ba85fb34c,줄라이포,아웃도어 감성 산책용품을 전개하는 반려 브랜드,https://cdn.loopers.dev/brands/julyfour.jpg,2022-01-02 07:06:36.692090,2022-01-20 08:58:43.740741,\N
